hex_id,hex_code
8849828045fffff,HEX-00830
8849828047fffff,HEX-00831
8849828049fffff,HEX-00832
884982804bfffff,HEX-00833
884982804dfffff,HEX-00834
8849828051fffff,HEX-00835
8849828053fffff,HEX-00836
8849828055fffff,HEX-00837
8849828057fffff,HEX-00838
8849828059fffff,HEX-00839
884982805bfffff,HEX-00840
884982805dfffff,HEX-00841
8849828061fffff,HEX-00842
8849828063fffff,HEX-00843
8849828065fffff,HEX-00844
8849828067fffff,HEX-00845
8849828069fffff,HEX-00846
884982806bfffff,HEX-00847
884982806dfffff,HEX-00848
8849828081fffff,HEX-00849
8849828083fffff,HEX-00850
8849828085fffff,HEX-00851
8849828087fffff,HEX-00852
8849828089fffff,HEX-00853
884982808bfffff,HEX-00854
884982808dfffff,HEX-00855
8849828091fffff,HEX-00856
8849828093fffff,HEX-00857
8849828095fffff,HEX-00858
8849828097fffff,HEX-00859
8849828099fffff,HEX-00860
884982809bfffff,HEX-00861
884982809dfffff,HEX-00862
88498280a1fffff,HEX-00863
88498280a3fffff,HEX-00864
88498280a5fffff,HEX-00865
88498280a7fffff,HEX-00866
88498280a9fffff,HEX-00867
88498280abfffff,HEX-00868
88498280adfffff,HEX-00869
88498280b1fffff,HEX-00870
88498280b3fffff,HEX-00871
88498280b5fffff,HEX-00872
88498280b7fffff,HEX-00873
88498280b9fffff,HEX-00874
88498280bbfffff,HEX-00875
88498280bdfffff,HEX-00876
88498280c1fffff,HEX-00877
88498280c3fffff,HEX-00878
88498280c5fffff,HEX-00879
88498280c7fffff,HEX-00880
88498280c9fffff,HEX-00881
88498280cbfffff,HEX-00882
88498280cdfffff,HEX-00883
88498280d1fffff,HEX-00884
88498280d3fffff,HEX-00885
88498280d5fffff,HEX-00886
88498280d7fffff,HEX-00887
88498280d9fffff,HEX-00888
88498280dbfffff,HEX-00889
88498280ddfffff,HEX-00890
88498280e1fffff,HEX-00891
88498280e3fffff,HEX-00892
88498280e5fffff,HEX-00893
88498280e7fffff,HEX-00894
88498280e9fffff,HEX-00895
88498280ebfffff,HEX-00896
88498280edfffff,HEX-00897
8849828101fffff,HEX-00898
8849828103fffff,HEX-00899
8849828105fffff,HEX-00900
8849828107fffff,HEX-00901
8849828109fffff,HEX-00902
884982810bfffff,HEX-00903
